# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00064040753729
1024 1 1.00054527546832
1536 1.5 1.00046102119714
2048 2 1.00038703905792
2560 2.5 1.00040972854494
3072 3 1.00058573451393
3584 3.5 1.00079055543181
4096 4 1.00102240155529
4608 4.5 1.00127920546409
5120 5 1.00155504210439
5632 5.5 1.00184624879537
6144 6 1.00215188176669
6656 6.5 1.00246912866677
7168 7 1.00279535245807
7680 7.5 1.00312819631658
8192 8 1.00346552288545
8704 8.5 1.00380525116066
9216 9 1.00414471503535
9728 9.5 1.00451103027834
10240 10 1.00504249973678
10752 10.5 1.00559377826844
11264 11 1.00616216989746
11776 11.5 1.00674513547732
12288 12 1.00734011323341
12800 12.5 1.00794436339364
13312 13 1.0085550853708
13824 13.5 1.00916855282453
14336 14 1.00978180286422
14848 14.5 1.01039228282876
15360 15 1.01099772775923
15872 15.5 1.01166360756275
16384 16 1.01237635675872
16896 16.5 1.01308485713664
17408 17 1.01378450120632
17920 17.5 1.0144733281447
18432 18 1.0151493592776
18944 18.5 1.01581055221787
19456 19 1.01645567306654
19968 19.5 1.01708432285469
20480 20 1.01769629483241
20992 20.5 1.01829077314696
21504 21 1.01886660119132
22016 21.5 1.01942281664681
22528 22 1.01995924644681
23040 22.5 1.02047669276088
23552 23 1.02097517965252
24064 23.5 1.0214545068
24576 24 1.02191452639493
25088 24.5 1.02235550971999
25600 25 1.022778088384
26112 25.5 1.02318280798504
26624 26 1.02356994625259
27136 26.5 1.02393981614247
27648 27 1.0242923453122
28160 27.5 1.02462666884963
28672 28 1.02494269286616
29184 28.5 1.02524020740118
29696 29 1.02551901495109
30208 29.5 1.02577919556355
30720 30 1.02602114844582
31232 30.5 1.02624532553185
31744 31 1.02645185013671
32256 31.5 1.02664046392008
32768 32 1.02681092372276
33280 32.5 1.02696341214805
33792 33 1.02709853037807
34304 33.5 1.02721704840957
34816 34 1.02731973620693
35328 34.5 1.02740736828571
35840 35 1.02748070902362
36352 35.5 1.02754041282108
36864 36 1.02758700276314
37376 36.5 1.02762128058845
37888 37 1.02764454631628
38400 37.5 1.02765818100677
38912 38 1.02766352723528
39424 38.5 1.0276615198515
39936 39 1.02794972964924
40448 39.5 1.02834111390078
40960 40 1.02872403488916
41472 40.5 1.02909750150455
41984 41 1.02946187593641
42496 41.5 1.02981700336299
43008 42 1.0301613164152
43520 42.5 1.0304934653215
44032 43 1.030813224434
44544 43.5 1.03112064354838
45056 44 1.03141518266521
45568 44.5 1.03169608131241
46080 45 1.03196329872349
46592 45.5 1.03221707804153
47104 46 1.03245656781496
47616 46.5 1.03267961592918
48128 47 1.03288408082764
48640 47.5 1.03306910170793
49152 48 1.03323496928581
49664 48.5 1.03338200685723
50176 49 1.0335098533083
50688 49.5 1.03361754116695
51200 50 1.03370372014115
51712 50.5 1.03376695228185
52224 51 1.03380624780233
52736 51.5 1.03382071288631
53248 52 1.03380998098272
53760 52.5 1.03377319498185
54272 53 1.03370939773816
54784 53.5 1.0336186330631
55296 54 1.0335009647505
55808 54.5 1.03335641416521
56320 55 1.03318497456637
56832 55.5 1.03298659480828
57344 56 1.03276107612908
57856 56.5 1.03280471020655
58368 57 1.03296277844126
58880 57.5 1.03312199142172
59392 58 1.03328296994888
59904 58.5 1.03344610342196
60416 59 1.0336112751697
60928 59.5 1.03377800748661
61440 60 1.033946500194
61952 60.5 1.03411782357389
62464 61 1.03429104518932
62976 61.5 1.03446581520113
63488 62 1.03464219860137
64000 62.5 1.03482043429905
64512 63 1.03500090627434
65024 63.5 1.03518416382245
65536 64 1.03537084230603
66048 64.5 1.03556136345295
66560 65 1.03575580203679
67072 65.5 1.03595407578152
67584 66 1.03615616942799
68096 66.5 1.03636224252626
68608 67 1.03657248260065
69120 67.5 1.03678672439762
69632 68 1.03700423312406
70144 68.5 1.03722489297886
70656 69 1.03744976866454
71168 69.5 1.03767912788685
71680 70 1.03791281205026
72192 70.5 1.03815036213324
72704 71 1.03839094824153
73216 71.5 1.03863444837384
73728 72 1.03888081907608
74240 72.5 1.03913110013899
74752 73 1.0393845294785
75264 73.5 1.03963991706986
75776 74 1.03989685433295
76288 74.5 1.04015453889888
76800 75 1.0404128795304
77312 75.5 1.04067121506816
77824 76 1.04092905326461
78336 76.5 1.04118525809061
78848 77 1.04143857045253
79360 77.5 1.04168830943104
79872 78 1.04193420854626
80384 78.5 1.0421760242401
80896 79 1.04240793329898
81408 79.5 1.04262795211804
81920 80 1.04283810872876
82432 80.5 1.04304008275813
82944 81 1.04336034844345
83456 81.5 1.04367900524462
83968 82 1.04399413622477
84480 82.5 1.04430124070294
84992 83 1.04459305310115
85504 83.5 1.04486663392813
86016 84 1.04512120299109
86528 84.5 1.04535700994605
87040 85 1.04557529843109
87552 85.5 1.0457773145364
88064 86 1.04596405020153
88576 86.5 1.04613631609465
89088 87 1.04629479054863
89600 87.5 1.04644007776775
90112 88 1.04657273954602
90624 88.5 1.0466932892345
91136 89 1.04680206670419
91648 89.5 1.0468991973495
92160 90 1.04698500393464
92672 90.5 1.04706012154614
93184 91 1.04712475801323
93696 91.5 1.04717583812129
94208 92 1.04721009960562
94720 92.5 1.04722646318054
95232 93 1.04722523079179
95744 93.5 1.04720743791006
96256 94 1.04717438543814
96768 94.5 1.04712582183224
97280 95 1.04705888165537
97792 95.5 1.04697209239735
98304 96 1.04686518401894
98816 96.5 1.04673885320327
99328 97 1.04659412516416
99840 97.5 1.04643225728482
100352 98 1.04625470572563
100864 98.5 1.04606289517721
101376 99 1.04585812572146
101888 99.5 1.04564161451042
102400 100 1.04541450210787
102912 100.5 1.04517800394412
103424 101 1.04493352207845
103936 101.5 1.0446826237121
104448 102 1.04442681643418
104960 102.5 1.04416732442159
105472 103 1.04390507722595
105984 103.5 1.04364087055097
106496 104 1.04337559154085
107008 104.5 1.04311008338156
107520 105 1.04284427140063
108032 105.5 1.04257741667063
108544 106 1.04230972881532
109056 106.5 1.0420413101175
109568 107 1.04177193954602
110080 107.5 1.04150173413968
110592 108 1.0412304028703
111104 108.5 1.04095577939271
111616 109 1.04067838367363
112128 109.5 1.0404003118255
112640 110 1.04023345250835
113152 110.5 1.04025281564369
113664 111 1.04018185159054
114176 111.5 1.04009236742615
114688 112 1.03998940836323
115200 112.5 1.03988568594018
115712 113 1.03978334137519
116224 113.5 1.03968472854918
116736 114 1.03959464181213
117248 114.5 1.03951396503804
117760 115 1.03944291988993
118272 115.5 1.03938144504625
118784 116 1.0393266301993
119296 116.5 1.03927638193107
119808 117 1.03922474631173
120320 117.5 1.03917081425191
120832 118 1.0391152921244
121344 118.5 1.03905871922245
121856 119 1.0390014972747
122368 119.5 1.03894410547289
122880 120 1.03889087517769
123392 120.5 1.03884506110306
123904 121 1.03880727100465
124416 121.5 1.03877649153053
124928 122 1.03875160980366
125440 122.5 1.03873223475524
125952 123 1.03871598966892
126464 123.5 1.03870305511979
126976 124 1.03869414944848
127488 124.5 1.03868815776134
128000 125 1.03868506569154
128512 125.5 1.03869072056712
129024 126 1.03870962212214
129536 126.5 1.03874522210604
130048 127 1.03880012147843
130560 127.5 1.03887533998459
131072 128 1.03896791204798
131584 128.5 1.03906596944492
132096 129 1.03916334701511
132608 129.5 1.03925175186363
133120 130 1.03936199874262
133632 130.5 1.03980267378231
134144 131 1.0399902131891
134656 131.5 1.04006859885886
135168 132 1.0402430924549
135680 132.5 1.04042360799629
136192 133 1.04058602780332
136704 133.5 1.04074616927572
137216 134 1.04073724354779
137728 134.5 1.04071805093628
138240 135 1.04070182922236
138752 135.5 1.04068959002787
139264 136 1.04068258371027
139776 136.5 1.04068214154106
140288 137 1.04068460804439
140800 137.5 1.04068646483587
141312 138 1.04068846164453
141824 138.5 1.04069108079554
142336 139 1.04069458862092
142848 139.5 1.04069909763018
143360 140 1.04070464787754
143872 140.5 1.04071124166574
144384 141 1.04071883288774
144896 141.5 1.04072730528474
145408 142 1.04073654991742
145920 142.5 1.04074645126316
146432 143 1.04075692209548
146944 143.5 1.04076749945679
147456 144 1.04077528988784
147968 144.5 1.04077852327126
148480 145 1.04077342305581
148992 145.5 1.04075612499185
149504 146 1.04072338379159
150016 146.5 1.04067723178241
150528 147 1.04062255614476
151040 147.5 1.04056442022205
151552 148 1.04050799758823
152064 148.5 1.0404579892257
152576 149 1.0404190834605
153088 149.5 1.04039529942872
153600 150 1.04039020844941
154112 150.5 1.04040711790236
154624 151 1.04043406920023
155136 151.5 1.04046564242786
155648 152 1.04049558272669
156160 152.5 1.0405150088654
156672 153 1.04054832197972
157184 153.5 1.04060605303938
157696 154 1.04069904621557
158208 154.5 1.0409763782749
158720 155 1.04127405842345
159232 155.5 1.0417733488917
159744 156 1.04240834410139
160256 156.5 1.04286549700113
160768 157 1.0430585588053
161280 157.5 1.04323545655826
161792 158 1.04339630116752
162304 158.5 1.0433878312208
162816 159 1.04335372212007
163328 159.5 1.04331084841735
163840 160 1.04326233400191
164352 160.5 1.04321052896563
164864 161 1.04315699384511
165376 161.5 1.04310269594249
165888 162 1.04304921877276
166400 162.5 1.04299822170465
166912 163 1.0429475866158
167424 163.5 1.04289466545344
167936 164 1.04283938271034
168448 164.5 1.04278166576005
168960 165 1.04272150122537
169472 165.5 1.04265890987238
169984 166 1.04259394642531
170496 166.5 1.04252676514532
171008 167 1.0424570790519
171520 167.5 1.04238325103626
172032 168 1.04230498401783
172544 168.5 1.04221959913472
173056 169 1.04212361085584
173568 169.5 1.04201718928217
174080 170 1.04189917167011
174592 170.5 1.04175396736322
175104 171 1.04158054033673
175616 171.5 1.04138861205019
176128 172 1.04119053910373
176640 172.5 1.04099604286665
177152 173 1.04081296759604
177664 173.5 1.04064491345341
178176 174 1.04047526264433
178688 174.5 1.04029712177108
179200 175 1.04013032207068
179712 175.5 1.0399890943343
180224 176 1.03988779704885
180736 176.5 1.03984019251383
181248 177 1.03986528004196
181760 177.5 1.04008033770344
182272 178 1.04039405548071
182784 178.5 1.04073592341777
183296 179 1.04109514381807
183808 179.5 1.04148835181806
184320 180 1.04208495115902
184832 180.5 1.04259622694115
185344 181 1.04279387769066
185856 181.5 1.04297427369336
186368 182 1.04314473172413
186880 182.5 1.04317088325005
187392 183 1.04317641912927
187904 183.5 1.04317519428459
188416 184 1.0431693996532
188928 184.5 1.04316076279957
189440 185 1.04315056100958
189952 185.5 1.0431396596913
190464 186 1.04312850567245
190976 186.5 1.04311726543725
191488 187 1.04310596258612
192000 187.5 1.04309450115009
192512 188 1.04308269928152
193024 188.5 1.04307027651118
193536 189 1.0430567755748
194048 189.5 1.04304159030785
194560 190 1.04302432118497
195072 190.5 1.04300368631896
195584 191 1.04297751639464
196096 191.5 1.04294574189468
196608 192 1.04291111623133
197120 192.5 1.04287522375234
197632 193 1.04283313420116
198144 193.5 1.04276819586653
198656 194 1.04267235317491
199168 194.5 1.0425520909114
199680 195 1.04241276323214
200192 195.5 1.04226372226979
200704 196 1.04211334858144
201216 196.5 1.04196401156547
201728 197 1.04180070709958
202240 197.5 1.04163285740892
202752 198 1.0414809674186
203264 198.5 1.04136142018286
203776 199 1.04128700111672
204288 199.5 1.0412768212606
204800 200 1.0413198546656
205312 200.5 1.04157023342024
205824 201 1.04185568925032
206336 201.5 1.0421684346347
206848 202 1.04250576682407
207360 202.5 1.04285817936265
207872 203 1.04321881648485
208384 203.5 1.04379340250351
208896 204 1.04418652106041
209408 204.5 1.04437354986753
209920 205 1.04454554568148
210432 205.5 1.04469165420746
210944 206 1.04469743530859
211456 206.5 1.0446971622037
211968 207 1.04469247704137
212480 207.5 1.04468542586903
212992 208 1.04467745618036
213504 208.5 1.0446694721981
214016 209 1.04466182380438
214528 209.5 1.04465437937592
215040 210 1.04464673087284
215552 210.5 1.04463835309336
216064 211 1.04462880682196
216576 211.5 1.04461760431303
217088 212 1.04460410980444
217600 212.5 1.0445878966763
218112 213 1.04456867416516
218624 213.5 1.04454872229682
219136 214 1.04452515715442
219648 214.5 1.04449659130863
220160 215 1.04446060723788
220672 215.5 1.04441318809804
221184 216 1.04435114872897
221696 216.5 1.04427324851448
222208 217 1.04417267543865
222720 217.5 1.04403881721249
223232 218 1.04388403089235
223744 218.5 1.04371630363137
224256 219 1.04353551555709
224768 219.5 1.04335982446869
225280 220 1.04317971516851
225792 220.5 1.04299846825103
226304 221 1.04283048762919
226816 221.5 1.04268974493387
227328 222 1.04258609084255
227840 222.5 1.04255656650226
228352 223 1.04259205273507
228864 223.5 1.04285396703926
229376 224 1.04314398773549
229888 224.5 1.04345214644323
230400 225 1.04377718522076
230912 225.5 1.04411850470291
231424 226 1.04447319644343
231936 226.5 1.04498829260448
232448 227 1.0455022923326
232960 227.5 1.04567557838897
233472 228 1.04582893460004
233984 228.5 1.04587026735088
234496 229 1.04583121331288
235008 229.5 1.04578081348989
235520 230 1.04572206570074
236032 230.5 1.04565727492044
236544 231 1.04558780120934
237056 231.5 1.0455142908127
237568 232 1.04543707220899
238080 232.5 1.04535629892977
238592 233 1.04527208780447
239104 233.5 1.04518443935946
239616 234 1.04509331160898
240128 234.5 1.04500259756481
240640 235 1.04491731496843
241152 235.5 1.04483703733774
241664 236 1.04475904448055
242176 236.5 1.04468028305401
242688 237 1.04459645758937
243200 237.5 1.0444831482232
243712 238 1.04432759971273
244224 238.5 1.04414070651845
244736 239 1.0439212549192
245248 239.5 1.04367740944609
245760 240 1.04339475528806
246272 240.5 1.04307773899462
246784 241 1.04274013281884
247296 241.5 1.0423903734458
247808 242 1.04204159980611
248320 242.5 1.04170497383223
248832 243 1.04152412005797
249344 243.5 1.04156743676424
249856 244 1.04161048272681
250368 244.5 1.04165238194623
250880 245 1.04169281768835
251392 245.5 1.04173187760995
251904 246 1.04177010912166
252416 246.5 1.04180843886883
252928 247 1.04184802929379
253440 247.5 1.04188989593326
253952 248 1.04193479387724
254464 248.5 1.04198324328191
254976 249 1.04203572031215
255488 249.5 1.04209331310277
256000 250 1.042156866347
256512 250.5 1.04222664937686
257024 251 1.04230165433604
257536 251.5 1.04238026228759
258048 252 1.04246146839595
258560 252.5 1.04254411173946
259072 253 1.04262714216478
259584 253.5 1.04270809180957
260096 254 1.04277067158185
260608 254.5 1.04283195578014
261120 255 1.04289072859236
261632 255.5 1.04294567474481
262144 256 1.04299484619654
262656 256.5 1.04303712575574
263168 257 1.04307192614904
263680 257.5 1.04309874419816
264192 258 1.04311716033554
264704 258.5 1.04312686973208
265216 259 1.04312772141735
265728 259.5 1.0431196340695
266240 260 1.04310238877285
266752 260.5 1.04307576355647
267264 261 1.04303909501247
267776 261.5 1.04299217886059
268288 262 1.04293521623988
268800 262.5 1.04286736899999
269312 263 1.04278865540376
269824 263.5 1.04270013057771
270336 264 1.04260374882787
270848 264.5 1.04250249769607
271360 265 1.04239850212799
271872 265.5 1.04229301522453
272384 266 1.04218688144794
272896 266.5 1.04208125095778
273408 267 1.04197711927691
273920 267.5 1.0418748978833
274432 268 1.04177477671184
274944 268.5 1.0416721116169
275456 269 1.0415724198308
275968 269.5 1.0414760622864
276480 270 1.04138376991639
276992 270.5 1.04129821959902
277504 271 1.04122160084848
278016 271.5 1.04115700184004
278528 272 1.04110491861356
279040 272.5 1.04106377122627
279552 273 1.041037835477
280064 273.5 1.04100385391626
280576 274 1.0409679347049
281088 274.5 1.04092811626014
281600 275 1.04088217213297
282112 275.5 1.04082831404418
282624 276 1.04076509147997
283136 276.5 1.04069250694178
283648 277 1.04061297356763
284160 277.5 1.04052803683758
284672 278 1.04043918823107
285184 278.5 1.04034735711218
285696 279 1.04025292253958
286208 279.5 1.04015582264237
286720 280 1.04005620212073
287232 280.5 1.03995374789609
287744 281 1.03984847278269
288256 281.5 1.03974041361713
288768 282 1.03962953673004
289280 282.5 1.03951597533156
289792 283 1.03939986809591
290304 283.5 1.03928136604414
290816 284 1.03916057712221
291328 284.5 1.03903762713407
291840 285 1.03891269265693
292352 285.5 1.03878600537173
292864 286 1.03865795563086
293376 286.5 1.03852877486985
293888 287 1.03839852665014
294400 287.5 1.03826746562967
294912 288 1.03813592557476
295424 288.5 1.03800160984051
295936 289 1.03786327134113
296448 289.5 1.03771840109432
296960 290 1.0375778109979
297472 290.5 1.03744165515139
297984 291 1.03730901020212
298496 291.5 1.037179604793
299008 292 1.03707594771897
299520 292.5 1.03704522434657
300032 293 1.03701123339225
300544 293.5 1.03697226225841
301056 294 1.0369273194818
301568 294.5 1.03687585239957
302080 295 1.03681772330951
302592 295.5 1.0367530247907
303104 296 1.03668174872552
303616 296.5 1.03660426094409
304128 297 1.03652099717804
304640 297.5 1.03646139921805
305152 298 1.03641652619489
305664 298.5 1.03636605565987
306176 299 1.03630949538554
306688 299.5 1.03624650188809
307200 300 1.03617685023982
307712 300.5 1.03610054386242
308224 301 1.03601774994003
308736 301.5 1.03592873228248
309248 302 1.03583380626424
309760 302.5 1.03573298587079
310272 303 1.03562622184484
310784 303.5 1.03551427369256
311296 304 1.0353980588014
311808 304.5 1.03527863033795
312320 305 1.0351571327428
312832 305.5 1.03503477578509
313344 306 1.03491278588141
313856 306.5 1.03479256202612
314368 307 1.03467548398618
314880 307.5 1.03456273951778
315392 308 1.03445527981903
315904 308.5 1.03435379524249
316416 309 1.03425882796304
316928 309.5 1.03417079232583
317440 310 1.03408998499606
317952 310.5 1.03401403751371
318464 311 1.0339468996047
318976 311.5 1.03388951511124
319488 312 1.03384207284327
320000 312.5 1.03380435199577
320512 313 1.03377542780851
321024 313.5 1.03375387864767
321536 314 1.03373768150748
322048 314.5 1.03372878203246
322560 315 1.03372120187141
323072 315.5 1.03371472646976
323584 316 1.03370921994089
324096 316.5 1.03370460002297
324608 317 1.03370080670959
325120 317.5 1.03369779865825
325632 318 1.0336955383891
326144 318.5 1.03369395806555
326656 319 1.03369240063782
327168 319.5 1.0336898789777
327680 320 1.0336855945831
328192 320.5 1.03367869655175
328704 321 1.0336686368891
329216 321.5 1.03365497229563
329728 322 1.03363696874854
330240 322.5 1.03361393854334
330752 323 1.03358604447114
331264 323.5 1.03355367450472
331776 324 1.03351813649027
332288 324.5 1.03348010254723
332800 325 1.03345742512992
333312 325.5 1.03348169667338
333824 326 1.03349813742618
334336 326.5 1.03350866562142
334848 327 1.03351475750379
335360 327.5 1.03351761534888
335872 328 1.03351825907915
336384 328.5 1.03351728834301
336896 329 1.03351483446971
337408 329.5 1.03351154209205
337920 330 1.03350779502339
338432 330.5 1.03350223352615
338944 331 1.0334935765715
339456 331.5 1.03348233021215
339968 332 1.03346896427774
340480 332.5 1.0334533699877
340992 333 1.03343420124596
341504 333.5 1.0334013792186
342016 334 1.03335535022895
342528 334.5 1.03333428277457
343040 335 1.03338439934435
343552 335.5 1.03343992056801
344064 336 1.03349681785357
344576 336.5 1.03355479695882
345088 337 1.03361365816795
345600 337.5 1.03367328511136
346112 338 1.03373360728714
346624 338.5 1.03379457457962
347136 339 1.03385613816693
347648 339.5 1.03391823962414
348160 340 1.03398103853007
348672 340.5 1.0340437819026
349184 341 1.03410509827603
349696 341.5 1.03416388449435
350208 342 1.03421917161937
350720 342.5 1.0342707968396
351232 343 1.03431849697468
351744 343.5 1.03436208544121
352256 344 1.03440143198724
352768 344.5 1.03443656706131
353280 345 1.03446773943962
353792 345.5 1.03449502523127
354304 346 1.03451853001098
354816 346.5 1.03453912467913
355328 347 1.0345576815337
355840 347.5 1.03457513854301
356352 348 1.03459255074108
356864 348.5 1.03461092794995
357376 349 1.03463111108599
357888 349.5 1.03465375972968
358400 350 1.03467938989106
358912 350.5 1.03470844322722
359424 351 1.03474125060333
359936 351.5 1.034778038429
360448 352 1.03481884868152
360960 352.5 1.0348624682378
361472 353 1.03491220821111
361984 353.5 1.03496877838904
362496 354 1.03503266736768
363008 354.5 1.03510484816848
363520 355 1.03518700939634
364032 355.5 1.03527832152701
364544 356 1.03537789945149
365056 356.5 1.03548762233728
365568 357 1.03560077988164
366080 357.5 1.03571496018887
366592 358 1.03582838015086
367104 358.5 1.03593937959389
367616 359 1.0360466471462
368128 359.5 1.03614863360377
368640 360 1.03624441340723
369152 360.5 1.03633342866613
369664 361 1.03641524856153
370176 361.5 1.03648960717755
370688 362 1.03655632024817
371200 362.5 1.03661519635348
371712 363 1.03666581365686
372224 363.5 1.0367080993495
372736 364 1.0367419568007
373248 364.5 1.03676731013944
373760 365 1.03678498390322
374272 365.5 1.03679755147331
374784 366 1.03680702673611
375296 366.5 1.0368147631736
375808 367 1.03682171211271
376320 367.5 1.03682857426511
376832 368 1.03683602334759
377344 368.5 1.03684509694524
377856 369 1.03685596297327
378368 369.5 1.03686864490535
378880 370 1.03688311742541
379392 370.5 1.03689947002059
379904 371 1.03691764464434
380416 371.5 1.03693766821351
380928 372 1.0369595717354
381440 372.5 1.03698342741834
381952 373 1.03700780485746
382464 373.5 1.0370239455903
382976 374 1.03704415232176
383488 374.5 1.03706812985107
384000 375 1.03709642908496
384512 375.5 1.03713267764221
385024 376 1.03718155777805
385536 376.5 1.03724454524015
386048 377 1.03732614209098
386560 377.5 1.03741812691866
387072 378 1.0375116021431
387584 378.5 1.03760246068112
388096 379 1.03768723893209
388608 379.5 1.03776336242845
389120 380 1.0378290861908
389632 380.5 1.03788495963268
390144 381 1.03793381403517
390656 381.5 1.0379776499185
391168 382 1.03801773202618
391680 382.5 1.03805480028294
392192 383 1.03808891059424
392704 383.5 1.03811999595469
393216 384 1.03814804940925
393728 384.5 1.0381734186991
394240 385 1.03819631026292
394752 385.5 1.03821689385601
395264 386 1.0382352849578
395776 386.5 1.0382515754649
396288 387 1.03826579134709
396800 387.5 1.03827792792602
397312 388 1.03828806158299
397824 388.5 1.03829634469226
398336 389 1.0383030734419
398848 389.5 1.03830848013413
399360 390 1.03831267118317
399872 390.5 1.03831577674996
400384 391 1.0383179625431
400896 391.5 1.03831916548034
401408 392 1.03831904818829
401920 392.5 1.03831442390111
402432 393 1.03830316106632
402944 393.5 1.03828576635455
403456 394 1.0382666197279
403968 394.5 1.03825159375717
404480 395 1.03824044569806
404992 395.5 1.03823302312792
405504 396 1.03823071303412
406016 396.5 1.03823417678523
406528 397 1.03825324294637
407040 397.5 1.03828397592005
407552 398 1.03830922330418
408064 398.5 1.03833007341717
408576 399 1.03834733402803
409088 399.5 1.0383615094734
409600 400 1.03837268560693
