# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.69312746631469e-07 7.6931274663147e-07 7.69312746631462e-07
1024 1 3.11213415964399e-06 3.11213415964399e-06 3.11213415964399e-06
1536 1.5 8.53560218959499e-06 8.53560218959499e-06 8.53560218959499e-06
2048 2 1.41777382408984e-05 1.41777382408984e-05 1.41777382408984e-05
2560 2.5 1.75433731751145e-05 1.75433731751145e-05 1.75433731751145e-05
3072 3 1.9790192133888e-05 1.9790192133888e-05 1.9790192133888e-05
3584 3.5 2.30335256244038e-05 2.30335256244038e-05 2.30335256244037e-05
4096 4 2.17396294730263e-05 2.17396294730263e-05 2.17396294730263e-05
4608 4.5 2.40469131619884e-05 2.40469131619884e-05 2.40469131619884e-05
5120 5 2.574362593981e-05 2.57436259398099e-05 2.57436259398102e-05
5632 5.5 2.6053219693818e-05 2.60532196938179e-05 2.60532196938479e-05
6144 6 2.69115084848306e-05 2.69115084848124e-05 2.69115084848069e-05
6656 6.5 2.77916156820303e-05 2.77916156820151e-05 2.77916156819405e-05
7168 7 3.55317863139916e-05 3.55317863139501e-05 3.5531786313959e-05
7680 7.5 4.41113646548035e-05 4.41113646547745e-05 4.41113646548907e-05
8192 8 5.14519293905677e-05 5.14519293906041e-05 5.1451929390683e-05
8704 8.5 5.5131567961277e-05 5.51315679613925e-05 5.51315679613038e-05
9216 9 5.46480468500172e-05 5.46480468501444e-05 5.4648046849985e-05
9728 9.5 5.29190517145928e-05 5.29190517146198e-05 5.29190517146133e-05
10240 10 5.4544306134679e-05 5.45443061345581e-05 5.45443061347282e-05
10752 10.5 6.13989932814112e-05 6.13989932812741e-05 6.13989932814015e-05
11264 11 7.00880876423744e-05 7.00880876423688e-05 7.00880876423584e-05
11776 11.5 7.50130220011837e-05 7.50130220012233e-05 7.50130220012053e-05
12288 12 7.44212340245053e-05 7.44212340244409e-05 7.44212340244767e-05
12800 12.5 7.24153183519769e-05 7.24153183518889e-05 7.24153183518301e-05
13312 13 7.43120264335095e-05 7.43120264335459e-05 7.43120264334023e-05
13824 13.5 8.10299010952951e-05 8.10299010953695e-05 8.10299010953953e-05
14336 14 8.91338955723579e-05 8.91338955723027e-05 8.91338955725441e-05
14848 14.5 9.53852757305884e-05 9.53852757304524e-05 9.53852757306368e-05
15360 15 9.91409408360327e-05 9.91409408360357e-05 9.91409408359676e-05
15872 15.5 0.000100121502715917 0.000100121502716062 0.000100121502715876
16384 16 9.6208423631701e-05 9.62084236317279e-05 9.62084236316242e-05
16896 16.5 8.55338969290683e-05 8.5533896928947e-05 8.55338969288944e-05
17408 17 7.31281850791684e-05 7.31281850794694e-05 7.31281850793747e-05
17920 17.5 6.05486640038535e-05 6.05486640040729e-05 6.05486640037909e-05
18432 18 4.90684532255743e-05 4.90684532257119e-05 4.90684532258678e-05
18944 18.5 4.92801499307508e-05 4.92801499306613e-05 4.92801499307177e-05
19456 19 5.34359105445198e-05 5.34359105443862e-05 5.34359105442322e-05
19968 19.5 5.65476194617627e-05 5.65476194618576e-05 5.65476194617162e-05
20480 20 5.46232747841088e-05 5.46232747844073e-05 5.46232747844147e-05
20992 20.5 4.64025616630717e-05 4.64025616633347e-05 4.6402561663286e-05
21504 21 3.45462473803319e-05 3.45462473803858e-05 3.45462473801917e-05
22016 21.5 2.64369331606621e-05 2.64369331609264e-05 2.64369331608211e-05
22528 22 2.42388509854002e-05 2.4238850985436e-05 2.4238850985584e-05
23040 22.5 2.59053739241545e-05 2.59053739241538e-05 2.59053739243537e-05
23552 23 3.05607217338286e-05 3.0560721733993e-05 3.05607217338893e-05
24064 23.5 2.88808192835616e-05 2.88808192836725e-05 2.88808192834334e-05
24576 24 1.89161306159391e-05 1.89161306158505e-05 1.89161306158674e-05
25088 24.5 9.62995778238184e-06 9.62995778258373e-06 9.62995778258566e-06
25600 25 5.24241561982186e-06 5.24241561985126e-06 5.24241561977768e-06
26112 25.5 2.68829412823044e-06 2.68829412809069e-06 2.68829412800523e-06
26624 26 5.23832479366947e-06 5.2383247936253e-06 5.23832479348527e-06
27136 26.5 6.01516917179627e-06 6.01516917148186e-06 6.01516917149274e-06
27648 27 7.14665611119324e-06 7.14665611142529e-06 7.14665611127729e-06
28160 27.5 7.54530469954333e-06 7.54530469961707e-06 7.54530469950221e-06
28672 28 8.79987044651123e-06 8.79987044669459e-06 8.79987044652198e-06
29184 28.5 6.65285826236478e-06 6.65285826203855e-06 6.65285826225401e-06
29696 29 6.86493616310192e-06 6.86493616312933e-06 6.86493616293684e-06
30208 29.5 7.61842801600938e-06 7.61842801628115e-06 7.61842801622403e-06
30720 30 8.21107740173377e-06 8.2110774015398e-06 8.21107740173484e-06
31232 30.5 8.17697005789584e-06 8.17697005747169e-06 8.17697005787391e-06
31744 31 7.66973483112801e-06 7.66973483092856e-06 7.66973483096324e-06
32256 31.5 7.11416937711393e-06 7.11416937732185e-06 7.11416937694061e-06
32768 32 6.73710302055309e-06 6.7371030205277e-06 6.73710302020755e-06
