# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369854089206841
1024 1 0.00369024697161224
1536 1.5 0.00368249312753773
2048 2 0.00367521865711094
2560 2.5 0.00366845828823768
3072 3 0.00366227280611204
3584 3.5 0.00365713810969339
4096 4 0.0036529649082752
4608 4.5 0.00364979097043187
5120 5 0.00364762398968247
5632 5.5 0.00364643868338511
6144 6 0.00364618346214194
6656 6.5 0.00364678993369357
7168 7 0.00364818282803096
7680 7.5 0.0036502853998151
8192 8 0.00365301401864825
8704 8.5 0.00365626212632992
9216 9 0.00365988812288019
9728 9.5 0.00366372912912977
10240 10 0.00366764057989924
10752 10.5 0.00367153328455455
11264 11 0.00367536904329566
11776 11.5 0.00367911701536886
12288 12 0.00368271911273769
12800 12.5 0.00368610438304328
13312 13 0.00368923340559636
13824 13.5 0.00369211995139269
14336 14 0.00369481291819805
14848 14.5 0.00369736346649554
15360 15 0.0036998086857515
15872 15.5 0.00370216895406282
16384 16 0.00370443752209348
16896 16.5 0.00370656252862715
17408 17 0.00370844773223229
17920 17.5 0.00370998758517799
18432 18 0.00371111636621124
18944 18.5 0.00371183522321986
19456 19 0.00371220136099371
19968 19.5 0.00371229183333188
20480 20 0.00371216376357602
20992 20.5 0.00371182919561117
21504 21 0.00371125878934887
22016 21.5 0.00371041744469161
22528 22 0.00370931108884448
23040 22.5 0.00370800712106358
23552 23 0.0037066059675164
24064 23.5 0.00370518165187217
24576 24 0.00370373963187666
25088 24.5 0.00370223007561653
25600 25 0.00370060764409148
26112 25.5 0.00369888348360648
26624 26 0.00369711759574512
27136 26.5 0.00369535689300646
27648 27 0.0036935821719991
28160 27.5 0.00369172093903185
28672 28 0.00368971409976768
29184 28.5 0.00368756667316511
29696 29 0.00368532995068027
30208 29.5 0.00368303625496813
30720 30 0.00368065711617235
31232 30.5 0.00367812866322722
31744 31 0.00367541583665275
32256 31.5 0.00367254630936649
32768 32 0.003669578153619
33280 32.5 0.00366653749765278
33792 33 0.00366339574406319
34304 33.5 0.0036601116930096
34816 34 0.0036566892523824
35328 34.5 0.00365318261490925
35840 35 0.00364964345342168
36352 35.5 0.00364607509188547
36864 36 0.00364245045199225
37376 36.5 0.00363876913353533
37888 37 0.00363507837325891
38400 37.5 0.00363143127688594
38912 38 0.00362783991841057
39424 38.5 0.00362428618770211
39936 39 0.0036207716267121
40448 39.5 0.00361733456252017
40960 40 0.00361401280461356
41472 40.5 0.00361080803075691
41984 41 0.00360770343680414
42496 41.5 0.00360470762037952
43008 42 0.00360186021960255
43520 42.5 0.00359919116221749
44032 43 0.00359669136716807
44544 43.5 0.00359433370166938
45056 44 0.00359211108678205
45568 44.5 0.00359003974189557
46080 45 0.00358813124849425
46592 45.5 0.00358637940695187
47104 46 0.00358477792127587
47616 46.5 0.00358333543116252
48128 47 0.00358206098938588
48640 47.5 0.00358094190743551
49152 48 0.00357994976039067
49664 48.5 0.00357906947231086
50176 49 0.00357831291441536
50688 49.5 0.00357769973075884
51200 50 0.00357723086993495
51712 50.5 0.00357688571762998
52224 51 0.00357664078883301
52736 51.5 0.00357648520351229
53248 52 0.00357642001626066
53760 52.5 0.00357644961092858
54272 53 0.00357657583087774
54784 53.5 0.00357679571858462
55296 54 0.0035771009394349
55808 54.5 0.00357748063486019
56320 55 0.00357792739349936
56832 55.5 0.00357844018647331
57344 56 0.00357902030715823
57856 56.5 0.00357966546980828
58368 57 0.00358036951148707
58880 57.5 0.00358112700248063
59392 58 0.00358193588994604
59904 58.5 0.00358279533111706
60416 59 0.0035837024707664
